protocol,title,script_count,missing_count,coverage,existing_scripts,missing_scripts
01-client-proposal-generation.md,PROTOCOL 01: CLIENT PROPOSAL GENERATION (DISCOVERY COMPLIANT),0,0,1.000,,
02-client-discovery-initiation.md,PROTOCOL 02: CLIENT DISCOVERY INITIATION (PROJECT-SCOPING COMPLIANT),7,7,0.000,,aggregate_evidence_02.py;check_client_confirmation.py;run_protocol_02_gates.py;validate_discovery_expectations.py;validate_discovery_objectives.py;validate_discovery_scope.py;validate_prerequisites_02.py
03-project-brief-creation.md,PROTOCOL 01: PROJECT BRIEF CREATION (PROJECT-SCOPING COMPLIANT),6,6,0.000,,aggregate_evidence_01.py;run_protocol_01_gates.py;validate_brief_structure.py;validate_discovery_inputs.py;validate_prerequisites_01.py;verify_brief_approvals.py
04-project-bootstrap-and-context-engineering.md,PROTOCOL 00: PROJECT BOOTSTRAP AND CONTEXT ENGINEERING (GOVERNANCE COMPLIANT),11,4,0.636,doctor.py;evidence_manager.py;generate_from_brief.py;normalize_project_rules.py;rules_audit_quick.py;validate_brief.py;validate_workflows.py,aggregate_evidence_00.py;run_protocol_00_gates.py;validate_prerequisites_00.py;validate_scaffold.py
05-bootstrap-your-project.md,PROTOCOL 0: BOOTSTRAP YOUR PROJECT (LEGACY ALIGNMENT COMPLIANT),8,6,0.250,normalize_project_rules.py;rules_audit_quick.py,aggregate_evidence_0.py;run_protocol_0_gates.py;validate_prerequisites_0.py;validate_principles.py;validate_repo_mapping.py;validate_rule_metadata.py
06-create-prd.md,PROTOCOL 1: IMPLEMENTATION-READY PRD CREATION (PLANNING COMPLIANT),7,5,0.286,generate_prd_assets.py;validate_prd_gate.py,aggregate_evidence_1.py;run_protocol_1_gates.py;validate_prd_context.py;validate_prd_requirements.py;validate_prerequisites_1.py
07-technical-design-architecture.md,PROTOCOL 6: TECHNICAL DESIGN & ARCHITECTURE (ARCHITECTURE COMPLIANT),7,4,0.429,plan_from_brief.py;validate_brief.py;validate_workflow_integration.py,aggregate_evidence_6.py;run_protocol_6_gates.py;validate_design_handoff.py;validate_prerequisites_6.py
08-generate-tasks.md,PROTOCOL 2: TECHNICAL TASK GENERATION (PLANNING COMPLIANT),8,6,0.250,enrich_tasks.py;validate_tasks.py,aggregate_evidence_2.py;run_protocol_2_gates.py;validate_high_level_tasks.py;validate_prerequisites_2.py;validate_rule_index.py;validate_task_decomposition.py
09-environment-setup-validation.md,PROTOCOL 7: ENVIRONMENT SETUP & VALIDATION (DEVOPS COMPLIANT),7,5,0.286,doctor.py;scaffold_phase_artifacts.py,aggregate_evidence_7.py;package_environment_assets.py;run_protocol_7_gates.py;validate_environment_requirements.py;validate_prerequisites_7.py
10-process-tasks.md,PROTOCOL 3: CONTROLLED TASK EXECUTION (DELIVERY COMPLIANT),8,7,0.125,update_task_state.py,aggregate_evidence_3.py;run_protocol_3_gates.py;validate_preflight.py;validate_prerequisites_3.py;validate_quality_gate.py;validate_session_closeout.py;validate_subtask_compliance.py
11-integration-testing.md,PROTOCOL 9: INTEGRATION TESTING & SYSTEM VALIDATION (QUALITY COMPLIANT),6,6,0.000,,aggregate_evidence_9.py;generate_artifact_manifest.py;run_contract_tests.py;run_protocol_9_gates.py;validate_environment.py;validate_prerequisites_9.py
12-quality-audit.md,PROTOCOL 4: QUALITY AUDIT ORCHESTRATOR (QUALITY ASSURANCE COMPLIANT),10,10,0.000,,aggregate_evidence_4.py;collect_change_context.py;run_comprehensive_review.py;run_protocol_4_gates.py;run_protocol_4_pre_audit.py;validate_gate_4_pre_audit.py;validate_gate_4_reporting.py;validate_prerequisites_4.py;validate_router_mapping.py;verify_specialized_execution.py
13-uat-coordination.md,PROTOCOL 15: USER ACCEPTANCE TESTING (UAT) COORDINATION (CUSTOMER VALIDATION COMPLIANT),9,9,0.000,,aggregate_evidence_15.py;build_uat_toolkit.py;generate_release_notes.py;run_protocol_15_gates.py;validate_gate_15_acceptance.py;validate_gate_15_defects.py;validate_gate_15_entry.py;validate_gate_15_execution.py;validate_prerequisites_15.py
14-pre-deployment-staging.md,PROTOCOL 10: PRE-DEPLOYMENT VALIDATION & STAGING READINESS (RELEASE COMPLIANT),9,9,0.000,,aggregate_evidence_10.py;refresh_staging_data.py;run_protocol_10_gates.py;update_deployment_checklist.py;validate_gate_10_intake.py;validate_gate_10_readiness.py;validate_gate_10_rehearsal.py;validate_gate_10_security.py;validate_prerequisites_10.py
15-production-deployment.md,PROTOCOL 11: PRODUCTION DEPLOYMENT & RELEASE MANAGEMENT (RELIABILITY COMPLIANT),7,7,0.000,,aggregate_evidence_11.py;run_protocol_11_gates.py;validate_gate_11_freeze.py;validate_gate_11_launch.py;validate_gate_11_readiness.py;validate_gate_11_reporting.py;validate_prerequisites_11.py
16-monitoring-observability.md,PROTOCOL 12: POST-DEPLOYMENT MONITORING & OBSERVABILITY (SRE COMPLIANT),8,7,0.125,collect_perf.py,aggregate_evidence_12.py;run_protocol_12_gates.py;validate_gate_12_alerts.py;validate_gate_12_assurance.py;validate_gate_12_handoff.py;validate_gate_12_instrumentation.py;validate_prerequisites_12.py
17-incident-response-rollback.md,PROTOCOL 13: INCIDENT RESPONSE & ROLLBACK (OPERATIONS RESILIENCE COMPLIANT),7,7,0.000,,aggregate_evidence_13.py;run_protocol_13_gates.py;validate_gate_13_mitigation.py;validate_gate_13_recovery.py;validate_gate_13_resolution.py;validate_gate_13_severity.py;validate_prerequisites_13.py
18-performance-optimization.md,PROTOCOL 14: PERFORMANCE OPTIMIZATION & TUNING (PERFORMANCE COMPLIANT),7,7,0.000,,aggregate_evidence_14.py;run_protocol_14_gates.py;validate_gate_14_baseline.py;validate_gate_14_diagnostics.py;validate_gate_14_governance.py;validate_gate_14_optimization.py;validate_prerequisites_14.py
19-documentation-knowledge-transfer.md,PROTOCOL 16: DOCUMENTATION & KNOWLEDGE TRANSFER (KNOWLEDGE MANAGEMENT COMPLIANT),8,8,0.000,,aggregate_evidence_16.py;check_doc_style.py;export_sequence_diagrams.py;run_protocol_16_gates.py;validate_gate_16_completeness.py;validate_gate_16_enablement.py;validate_gate_16_publication.py;validate_prerequisites_16.py
20-project-closure.md,PROTOCOL 17: PROJECT CLOSURE & HANDOVER (PROGRAM GOVERNANCE COMPLIANT),6,6,0.000,,aggregate_evidence_17.py;run_protocol_17_gates.py;validate_gate_17_deliverables.py;validate_gate_17_governance.py;validate_gate_17_handover.py;validate_prerequisites_17.py
21-maintenance-support.md,PROTOCOL 18: CONTINUOUS MAINTENANCE & SUPPORT PLANNING (SERVICE RELIABILITY COMPLIANT),7,7,0.000,,aggregate_evidence_18.py;discover_automation_candidates.py;run_protocol_18_gates.py;validate_gate_18_approvals.py;validate_gate_18_backlog.py;validate_gate_18_governance.py;validate_prerequisites_18.py
22-implementation-retrospective.md,PROTOCOL 5: IMPLEMENTATION RETROSPECTIVE (CONTINUOUS IMPROVEMENT COMPLIANT),7,7,0.000,,aggregate_evidence_5.py;generate_retrospective_report.py;run_protocol_5_gates.py;validate_gate_5_action_plan.py;validate_gate_5_integration.py;validate_gate_5_participation.py;validate_prerequisites_5.py
23-script-governance-protocol.md,PROTOCOL 23 : SCRIPT GOVERNANCE (AUTOMATION QUALITY COMPLIANT),7,7,0.000,,aggregate_evidence_8.py;run_protocol_8_gates.py;validate_gate_8_artifacts.py;validate_gate_8_inventory.py;validate_gate_8_reporting.py;validate_gate_8_static.py;validate_prerequisites_8.py
